id,plant_label,timestamp,soil_moisture_pct,temperature_c,humidity_pct,light_level_pct,action_water,action_reduce_temp,action_increase_light,recommendation_summary,request_id,risk_class
208,PrayerPlant,2026-06-04 16:55:40.645921+00,56.68,23.5,47,17.92,false,false,true,predWaterMin=21600.0 nextCycleMin=240.0 powerSavingPct=87.5 actions:[light ],1780592136,0
209,PeaceLily,2026-06-04 19:53:10.067082+00,39.12,22.7,52.3,0.02,false,false,true,predWaterMin=5420.3 nextCycleMin=240.0 powerSavingPct=87.5 actions:[light ],1780602785,0
210,PrayerPlant,2026-06-04 19:55:41.375202+00,56.05,23.4,45,0,false,false,true,predWaterMin=18089.6 nextCycleMin=240.0 powerSavingPct=87.5 actions:[light ],1780602937,0
211,PeaceLily,2026-06-04 22:53:09.765343+00,38.88,22.7,53.8,0,false,false,true,predWaterMin=4672.6 nextCycleMin=240.0 powerSavingPct=87.5 actions:[light ],1780613585,0
212,PrayerPlant,2026-06-04 22:55:40.364371+00,56.98,23.3,46.7,0,false,false,true,predWaterMin=20821.7 nextCycleMin=240.0 powerSavingPct=87.5 actions:[light ],1780613736,0
213,PeaceLily,2026-06-05 01:53:11.619788+00,38.29,22.5,55.5,0,false,false,true,predWaterMin=3655.5 nextCycleMin=240.0 powerSavingPct=87.5 actions:[light ],1780624385,0
214,PrayerPlant,2026-06-05 01:55:39.977479+00,56.59,23,48.7,0,false,false,true,predWaterMin=17475.1 nextCycleMin=240.0 powerSavingPct=87.5 actions:[light ],1780624535,0
215,PeaceLily,2026-06-05 04:53:09.376912+00,38.54,22.4,56.1,37.19,false,false,false,predWaterMin=3039.6 nextCycleMin=240.0 powerSavingPct=87.5 actions:[],1780635185,0
216,PrayerPlant,2026-06-05 04:55:39.702487+00,57.37,22.9,49.4,1.71,false,false,true,predWaterMin=19103.5 nextCycleMin=240.0 powerSavingPct=87.5 actions:[light ],1780635335,0
217,PeaceLily,2026-06-05 07:53:11.123174+00,37.27,22.3,60,57.02,false,false,false,predWaterMin=3892.3 nextCycleMin=240.0 powerSavingPct=87.5 actions:[],1780645984,0
218,PrayerPlant,2026-06-05 07:55:39.382035+00,57.56,22.9,53.7,21.34,false,false,true,predWaterMin=17597.0 nextCycleMin=240.0 powerSavingPct=87.5 actions:[light ],1780646135,0
219,PeaceLily,2026-06-05 10:53:08.852986+00,36.88,22.4,63.4,52.43,false,false,false,predWaterMin=3746.2 nextCycleMin=240.0 powerSavingPct=87.5 actions:[],1780656784,0
220,PrayerPlant,2026-06-05 10:55:39.265719+00,57.41,23.2,55.7,10.72,false,false,true,predWaterMin=16766.9 nextCycleMin=240.0 powerSavingPct=87.5 actions:[light ],1780656935,0
221,PeaceLily,2026-06-05 13:53:08.484085+00,36.2,22.5,63,46.42,false,false,false,predWaterMin=4271.0 nextCycleMin=240.0 powerSavingPct=87.5 actions:[],1780667584,0
222,PrayerPlant,2026-06-05 13:55:38.95632+00,57.32,23.3,54.8,7.67,false,false,true,predWaterMin=16826.0 nextCycleMin=240.0 powerSavingPct=87.5 actions:[light ],1780667734,0
223,PeaceLily,2026-06-05 16:53:10.914574+00,35.85,22.6,61.4,21.1,false,false,true,predWaterMin=4289.9 nextCycleMin=240.0 powerSavingPct=87.5 actions:[light ],1780678386,0
